Word,Definitions
abuse,"to treat someone or something in a way that is cruel, harmful, or wrong"
accident,"sudden unplanned event causing damage, injury, etc."
habit,the usual way of behaving; something often repeated
activity,"an action or task (e.g., sports, washing your clothes)"
add,"to put two things or numbers together (e.g., 2+2)"
adjust,to change so as to fit in with new conditions
administration,"the work of running something (e.g., a business)"
advocate,"to publicly support a belief, or to request a change"
analyst,someone who is skilled at studying the details of data
arrival,when someone or something gets to a place
highlight,the best or most interesting part of something
button,small round piece of material used to fasten clothing
appearance,way that someone or something looks
application,"formal request for a job, building permission, etc."
apply,"to ask formally for (a job, building permission, etc.)"
as,a word used to compare two equal things
argument,a discussion in which you disagree with another's opinion
arrange,to put things into a particular order; to plan and organize an event
arrangement,plan or preparation to make something happen; an agreement
hunt,to search for wild animals to kill for food or sport
art,"a creative skill using the imagination (e.g., painting)"
characterize,"to describe the qualities of a person, place, thing"
assessment,opinion based on judging the qualities of something or someone
asset,a person or thing that has value or use to someone or to a company
back,behind; to the rear; previous
associate,"partner in professional work (e.g., in law)"
atmosphere,The mixture of gases surrounding the Earth; the feeling that a place or situation gives you
attitude,"way you act, think, and feel about something"
illustrate,"to explain with examples, to make it easier to understand"
audience,"group of people listening, watch a play, movie, etc."
author,"person who writes books, plays, poems, etc."
impose,"to make someone to do, believe, or accept something "
band,"group of people who work together (e.g., play music)"
bar,"to prevent entry, exit, or an action"
basically,in the most important ways even if not completely true
bedroom,room for sleeping usually with a bed
belief,a feeling of being sure that something exists or is true
bind,to join two or more things together to limit their freedom
birth,when a baby comes out of the body of its mother
bomb,a weapon designed to break apart very suddenly and violently
bond,"something that joins or connects people, groups, or parts; a duty or promise to another; glue"
border,line separating one country or state from another
competitor,"someone taking part in a race, business, etc."
incident,"something that happens, especially if it is bad or unusual"
intelligence,"ability to learn, think about, and understand things"
branch,a part of a tree that grows out from the main part; a part of an organization connected to but separate from the main office
brand,name given to a product or service
build,"to make (e.g., a house, by putting materials together)"
business,"the making, buying, or selling goods or services for money"
bridge,"structure built over river or road so people, vehicles, or animals can cross"
coverage,"way a newspaper, television program, etc., reports an event or subject"
crew,"an organized group of workers (e.g., on a ship)"
kick,to hit someone or something using your foot
kiss,to put your lips against another's to show love
dependent,someone who depends on another for (financial) support
campaign,to work in an organized and active way toward a goal
latter,the second or last mentioned thing
lock,to close something with a device so others can't open it
cent,"100th of the basic unit of money (e.g., there are 100 of these in a dollar)"
certainly,definitely true or is sure to happen
chain,"series of connected  things, events, or people"
channel,"1. a narrow, deep body of water used by ships; 2. a system used for sending something from one place or person to another"
characteristic,a typical feature or quality that a particular person or thing has
milk,the white liquid produced by females to feed their babies
color,"the quality of things you can see (e.g., red, blue)"
origin,the point at which something begins or is created
church,building where religious people gather and pray
drag,to pull something that is difficult to move
civil,related to the people of a country; not military/criminal
proportion,an amount that is a part of a whole thing
reject,"to refuse to believe, accept, or consider"
clothes,"things you wear on your body (e.g., shirt, dress, tie)"
course,"route or direction that a river, etc., moves along"
colleague,someone who works with you; coworker
formula,"plan, rule, or method for doing or making something"
combination,result of mixing things together
foundation,underground base on which a building is constructed
lip,top and bottom part of the outside of a person's mouth
comment,something you say; give an opinion; remark
commission,a group officially put in charge of finding out about something or controlling something
commitment,a promise or decision to do something; something that you must do that takes your time
relief,the pleasant and relaxed feeling when something unpleasant stops or does not happen
complain,to say that you are not happy or satisfied with something or someone
component,one of the parts that make up something
concentrate,to give all your attention to a task; focus
condition,"state of living you are in (e.g., good health)"
margin,"the empty space at the top, bottom, and sides of a written or printed page"
content,"information in something (e.g., a book or computer program)"
contract,"legal agreement (e.g., for doing work for money)"
contribute,give something of value to or help someone or something
pace,the speed at which someone or something moves or happens
corner,"place where two lines, sides, corners, etc., meet"
reputation,an opinion that people have about someone or something based on the past
shoulder,the part of the body where an arm attaches or joins
perception,the way in which one sees or understands something
similarly,in a way that is almost the same as something or someone else
crime,"act that is against the law; murder, theft, etc."
supporter,someone who shows they are in favor of an idea/plan
symbol,action or object that represents a particular idea or quality
cultural,of a particular society's customs and beliefs
sky,the place where we see clouds above us
cream,the thick white liquid that comes from milk and is used in cooking
evolution,"slow, steady change or development"
example,something or someone who represents a group
decrease,"to reduce the size, amount, or number of something"
exhaust,"to use all of something such as energy, resources, or possibilities; to make someone very, very tired"
soul,the spiritual part of a person
delay,to cause something to happen later than planned or expected
specifically,in a well-defined or clear manner; in particular
demonstrate,"to show how something works (e.g., product)"
extract,to take something out of something else
talent,the natural ability of a person to do something well
desire,"to wish for, hope, or want something"
destroy,to damage something so badly that it no longer exists
direction,"describes the way you are going (e.g., north)"
distinction,the special quality that makes something different
division,act of separating something into parts; groups formed by different functions or opinions
doctor,a professional who is trained and licensed to treat sick or injured people; a person who has the highest degree given by a university
domestic,of or relating to a particular country; of or relating to the home and family
iron,the hard metal used to make steel (symbol Fe)
economy,"total of all the goods, services, and wages in an area"
editor,a person whose job is to correct and make changes to the contents of a book or magazine
elect,choose someone for a position usually by voting 
knee,the middle part of your leg that bends
stem,"the long, thin part of a plant that supports leaves and flowers"
engineer,"professional who designs and builds machines, roads, and other complicated structures"
entirely,fully or completely
wage,money paid to workers for the hours they worked
wheel,the round thing under a vehicle that turns and makes it move
escape,to get away from a place where you are being held
winner,the person or animal that is the best in a contest or first in a race
estimate,"guess or calculation of cost, size, or value"
appointment,the time you arranged to meet someone or do something
here,"in, at, or to this position or place"
examine,to look at someone or something very carefully in order to learn more
breakfast,the first meal of the day
excite,"to make someone feel happy, interested, or eager"
however,used to say something is different from what was said before; but
breast,one of the two parts on the front of a woman's body that produce milk when she has a baby
capture,to catch and prevent a person/animal from being free
celebrate,"to observe an event or occasion (e.g., a birthday)"
expense,the amount of money that is needed to pay for something
explore,to learn about something by examining in detail or someplace by traveling to it
extend,"to straighten or stretch something out (e.g., your leg)"
childhood,the time when you are a child
fairly,in a reasonable way; between a little and very much
farmer,"someone who owns or looks after farm, a place for growing crops and keeping animals"
fear,unpleasant feelings caused by being aware of danger
feed,"to give food (e.g., to an animal or a baby)"
closely,very near in space or time; just next to
file,"to submit documents to an authority (e.g., city hall)"
angle,a place where two lines or surfaces meet
flower,"plant with a pretty head (e.g., a rose)"
attribute,"a quality or characteristic that someone or something has (e.g., size or color)"
command,to give an order; have control over others
consistent,always acting or happening in the same way
core,the central part of a fruit that contains the seeds; the central part of something
frame,"(n) 1. the basic structure of something that gives it its shape, to which other parts are added; 2. one picture in a series that make a video; (v) 1. to put a picture in a supporting structure; 2. to produce false evidence so an innocent person appears guilty of a crime"
bowl,a round container used for holding things like rice or soup
crop,"plants grown on a farm for food (e.g., corn or rice)"
gain,"to get something wanted, needed, or valued"
debt,the sum of money owed to somebody that is not yet paid
generally,"usually; as a rule; by, to, or for most people"
last,the one before
exhibition,an event at which an object or group of objects is shown to the public
graduate,(v) to receive a degree from a college or university; (n) a person who has received a degree
leave,to go away from; depart
liability,"something that is owed to someone else (e.g., a debt)"
gun,a weapon that shoots small metal objects down a metal tube
life,"all the living things (e.g., animals, plants, humans)"
hall,"a usually long, narrow room in a building  that leads to other rooms"
hang,"to attach a picture, photograph, etc., onto a wall"
line,"mark that is long, straight, and very thin"
cake,"a sweet baked food made from flour, eggs, fat, and sugar"
hire,to employ a person to do a particular job
historical,of or related to events or people in the past
host,person who entertains guests
hotel,place where people can stay when traveling
fellow,someone in the same group or situation; a boy or man
many,used to refer to a large number of things
currency,a money system that a country uses
hurt,"to cause pain, damage, or injury"
ice,frozen water 
gene,part of a cell that controls the development and appearance of a living thing
identity,who someone is; the collection of qualities that makes a person
curve,a smooth rounded line that is not straight
image,"picture, sculpture, or painting of something"
imagine,to think creatively about; form a mental picture of
modify,to make small changes to something
month,"one of 12 time periods that make a year, each from 28 to 31 days long"
income,"earned money from work, investments, or business"
indicate,"to show something, direct attention to, or point out"
industrial,concerning the people and businesses that make certain products
guard,"to keep watch over something to protect it e.g., a bank"
insist,to state your opinion strongly and firmly; to demand that something must happen
instrument,a piece of equipment used for a particular purpose such as making music or measuring something
depression,a feeling of great sadness
off,away from; not on
investor,a person who gives money to help a business grow for a profit
on,"located on the surface of something (e.g., a table or wall)"
entrance,a way into a place
order,"to ask for something you want to buy (e.g., a meal)"
accommodation,"a place to stay, often a hotel"
flood,a large amount of water covering land that is usually dry
assistant,"a person who helps another, usually as a job"
party,"social event often with food, drinks, and dancing"
label,a piece of paper or cloth that is attached to something and gives information about it
lady,another way of saying 'woman'
boss,"a person who manages you, or is in charge of you at work"
past,"the time that existed before now (e.g., long ago)"
forecast,"a prediction of some future thing (e.g., the weather)"
jacket,"a light, thin coat"
lawyer,a professional who is paid to help people with the law
plan,to decide a set of actions to do something
lesson,a time or event where teaching and learning occur; class
bottle,a container with a narrow neck used to hold liquids like water or wine
license,official document which allows a person to do or have something
chemical,a basic substance produced by mixing elements
delight,a strong feeling of great pleasure and happiness
engine,a machine that changes energy into motion
loan,something (usually money) that is given to someone for a period of time with a promise that it will be returned
locate,"to find a certain place, position, or location of something"
expectation,a belief or hope that something is going to happen
gentleman,a man who has good manners and is considerate
journalist,"a person who writes news reports for newspapers, magazines, television, or radio"
lake,a large area of water surrounded by land
room,"a part of building enclosed by walls (e.g., kitchen)"
mass,"a large amount of something, often of no particular shape"
master,1. someone who has control over others; 2. someone who is very skilled at doing something
meal,"food for eating at a particular time (e.g., dinner)"
landscape,a large area of countryside or land that has a particular quality or appearance
set,"complete group of something (e.g., a chess set)"
miss,"to be too late to ride on something (e.g., train or bus)"
mistake,"something done wrong, calculated wrong.; error"
model,a copy that represents an object or standard
mirror,a thing with a glass surface used to look at yourself
mouse,a small animal that has fur and a long tail
moral,relating to people's belief about right or wrong behavior
morning,early part of the day before 12 noon
participant,a person who is actively involved and included in something
passenger,A person who is traveling in a vehicle
narrow,long but not wide; a small distance from one side to the other compared to length
negative,"being harmful, unwanted, or unhelpful"
neither,not one or the other; not either; none of two things
net,material made of string tied together and used to catch fish or other small animals
nevertheless,despite what has just been done or said; nonetheless
musician,"a person who writes, sings, or plays music, as a job"
noise,a loud or unpleasant sound 
none,not one of a group; not at all or in no way
opponent,a person that you are competing against in a game or contest
occasion,particular time when something important or special happens
odd,being strange or different from what is usual or expected
plate,a flat dish used for eating or serving food
snap,to break something long and thin
onto,movement towards a position that is on something
plot,"a plan to do something, often in secret and bad"
oppose,"to be against someone in a contest, game, or fight; to disagree"
producer,a company making or growing a certain product
organize,"to arrange and plan things (e.g., a party)"
phenomenon,a fact that can be observed and studied
original,"being first made, thought, or performed; fresh"
stay,to spend time visiting a place or someone's home
package,box or container in which items are placed for mailing
pair,"two of the same thing (e.g., socks)"
shadow,a dark shape that appears when something stops the light
subject,"the person, or thing that is being talked, or written about"
singer,"a person who sings, often as a profession"
such,"so like, or similar"
statistic,a number that represents a piece of information
substance,a particular type of material
summary,a brief statement that gives the most important information
permit,to allow someone to do something or for something to happen
protein,"a substance found in some foods, such as meat, that is needed by the body to stay healthy"
teenager,a person between the ages of 13 and 19
photograph,a picture made with a camera that shows how things look in real life
throat,passage inside the neck used to swallow and breathe
tourism,"traveling to new places (e.g., abroad, for vacations)"
plenty,a large  amount of something; a lot; not too little
tower,"a tall, narrow building"
transition,a gradual change from one condition to another
population,"number of people who live in a country, area, etc."
trap,a device used for catching animals
