Lemma,SFI Rank,SFI,Adjusted Frequency per Million (U)
the,1,87.85,60910
be,2,86.86,48575
and,3,84.88,30789
of,4,84.79,30126
to,5,84.66,29272
a,6,84.45,27872
in,7,83.25,21142
have,8,81.53,14210
it,9,81.39,13772
you,10,81.08,12810
he,11,80.42,11017
for,12,80.01,10025
they,13,79.9,9764
not,14,79.77,9494
that,15,79.37,8653
we,16,79.24,8401
on,17,78.9,7763
with,18,78.68,7381
this,19,78.45,7003
I,20,78.34,6820
do,21,78.33,6802
as,22,78.29,6747
at,23,77.46,5570
she,24,77.16,5195
but,25,77.06,5087
from,26,76.63,4598
by,27,76.36,4323
will,28,76.23,4195
or,29,76.09,4060
say,30,75.35,3425
go,31,75.13,3260
so,32,75.09,3227
all,33,75.02,3175
if,34,74.78,3009
one,35,74.77,2997
would,36,74.77,2997
about,37,74.72,2967
can,38,74.61,2890
which,39,74.6,2886
there,40,74.5,2820
know,41,74.21,2634
more,42,74.2,2631
get,43,74.1,2573
who,44,74.04,2534
like,45,73.92,2465
when,46,73.86,2435
think,47,73.86,2433
make,48,73.73,2359
time,49,73.62,2302
see,50,73.48,2226
what,51,73.43,2204
up,52,73.32,2150
some,53,73.28,2130
other,54,73.22,2100
out,55,73.15,2064
good,56,73.09,2038
people,57,73.05,2019
year,58,72.9,1949
take,59,72.73,1873
no,60,72.68,1854
well,61,72.64,1835
because,62,72.61,1824
very,63,72.53,1792
just,64,72.43,1751
come,65,72.29,1694
could,66,72.27,1688
work,67,72.24,1674
use,68,72.19,1657
than,69,72.02,1591
now,70,71.94,1563
then,71,71.91,1554
also,72,71.91,1552
into,73,71.7,1477
only,74,71.69,1475
look,75,71.37,1370
want,76,71.31,1354
give,77,71.24,1332
first,78,71.21,1321
new,79,71.1,1290
way,80,71.07,1279
find,81,70.92,1236
over,82,70.92,1235
any,83,70.88,1224
after,84,70.83,1210
day,85,70.75,1187
where,86,70.75,1187
thing,87,70.65,1161
most,88,70.59,1146
should,89,70.54,1132
need,90,70.53,1129
much,91,70.51,1125
right,92,70.47,1113
how,93,70.39,1093
back,94,70.22,1051
mean,95,70.09,1021
even,96,69.95,988
may,97,69.82,959
here,98,69.77,947
many,99,69.75,945
such,100,69.71,936
last,101,69.62,917
child,102,69.59,910
tell,103,69.55,901
really,104,69.4,870
call,105,69.39,869
before,106,69.29,849
company,107,69.25,842
through,108,69.23,838
down,109,69.21,833
show,110,69.18,827
life,111,69.09,812
man,112,69.07,807
change,113,69.02,799
place,114,69,795
long,115,68.98,791
between,116,68.94,784
feel,117,68.92,780
too,118,68.82,763
still,119,68.76,752
problem,120,68.65,733
write,121,68.65,732
same,122,68.58,721
lot,123,68.54,715
great,124,68.51,710
try,125,68.45,699
leave,126,68.44,699
number,127,68.44,698
both,128,68.42,695
own,129,68.4,693
part,130,68.4,692
point,131,68.35,684
little,132,68.33,681
help,133,68.32,680
ask,134,68.29,675
meet,135,68.26,671
start,136,68.26,669
talk,137,68.23,665
something,138,68.23,665
put,139,68.16,655
another,140,68.16,655
become,141,68.15,654
interest,142,68.15,653
country,143,68.15,653
old,144,68.11,647
each,145,68.1,646
school,146,68.05,638
late,147,68.05,638
high,148,68.04,637
different,149,68.03,636
off,150,68,630
next,151,67.92,620
end,152,67.92,619
live,153,67.84,608
why,154,67.83,607
while,155,67.77,598
world,156,67.76,597
week,157,67.75,596
play,158,67.73,593
might,159,67.68,587
must,160,67.68,586
home,161,67.67,585
never,162,67.63,580
include,163,67.6,575
course,164,67.6,575
house,165,67.57,572
report,166,67.56,570
group,167,67.55,569
case,168,67.55,569
woman,169,67.55,568
around,170,67.54,568
book,171,67.53,566
family,172,67.52,565
seem,173,67.5,562
let,174,67.44,555
again,175,67.44,554
kind,176,67.43,554
