Monday,Mondays
Tuesday,Tuesdays
Wednesday,Wednesdays
Thursday,Thursdays
Friday,Fridays
Saturday,Saturdays
Sunday,Sundays
January,Januarys,Januaries
February,Februarys,Februaries
March,Marchs,marched,marching,marchings
April,Aprils
May,Mays
June,Junes
July,Julys
August,Augusts
September,Septembers
October,Octobers
November,Novembers
December,Decembers
two,twos
three,threes,third,thirds
four,fours,fourth,fourths
five,fives,fifth,fifths
six,sixs,sixth,sixths
seven,sevens,seventh,sevenths
eight,eights,eighth,eighths
nine,nines,ninth,ninths
ten,tens,tenth,tenths
eleven,elevens,eleventh,elevenths
twelve,twelves,twelfth,twelfths
thirteen,thirteens,thirteenth,thirteenths
fourteen,fourteens,fourteenth,fourteenths
fifteen,fifteens,fifteenth,fifteenths
sixteen,sixteens,sixteenth,sixteenths
seventeen,seventeens,seventeenth,seventeenths
eighteen,eighteens,eighteenth,eighteenths
nineteen,nineteens,nineteenth,nineteenths
twenty,twentys,twenties,twentieth,twentieths
thirty,thirtys,thirties,thirtieth,thirtieths
forty,fortys,forties,fortieth,fortieths
fifty,fiftys,fifties,fiftieth,fiftieths
sixty,sixtys,sixties,sixtieth,sixtieths
seventy,seventys,seventies,seventieth,seventieths
eighty,eightys,eighties,eightieth,eightieths
ninety,ninetys,nineties,ninetieth,ninetieths
hundred,hundreds,hundredth,hundredths
thousand,thousands,thousandth,thousandths
million,millions,millionth,millionths
billion,billions,billionth,billionths
trillion,trillions,trillionth,trillionths
quadrillion,quadrillions,quadrillionth,quadrillionths
quintillion,quintillions,quintillionth,quintillionths
